host,taxid,species,group,niche,host_proteome,host_tissue,host_localization,host_eggnog,host_interactor,parasite_proteome,parasite_localization,parasite_eggnog,parasite_interactor,edges
human,45882,Trichinella britovi,Nematoda,intracellular,19699,7552,6222,6221,480,15466,1202,1051,82,1751
human,6335,Trichinella nativa,Nematoda,intracellular,19699,7552,6222,6221,454,13202,1048,943,73,1367
human,6336,Trichinella nelsoni,Nematoda,intracellular,19699,7552,6222,6221,465,13005,989,867,63,907
human,6337,Trichinella pseudospiralis,Nematoda,intracellular,19699,7552,6222,6221,502,10629,921,792,68,964
human,6334,Trichinella spiralis,Nematoda,intracellular,19699,7552,6222,6221,455,14258,1048,874,64,966
human,441375,Cryptosporidium muris,Apicomplexa,intracellular,19699,1382,1154,1153,38,3930,303,126,12,60
human,353152,Cryptosporidium parvum,Apicomplexa,intracellular,19699,1294,1080,1079,23,3805,309,116,7,32
human,36329,Plasmodium falciparum,Apicomplexa,intracellular,19699,7426,6102,6101,738,5376,983,733,100,1706
human,5851,Plasmodium knowlesi,Apicomplexa,intracellular,19699,1922,1565,1564,177,5100,885,738,70,380
human,126793,Plasmodium vivax,Apicomplexa,intracellular,19699,1922,1565,1564,183,5389,1089,707,93,536
human,432359,Toxoplasma gondii,Apicomplexa,intracellular,19699,7584,6252,6252,139,8404,751,562,28,276
human,5671,Leishmania infantum,Kinetoplastida,intracellular,19699,1987,1625,1624,28,8045,346,337,15,49
human,5664,Leishmania major,Kinetoplastida,intracellular,19699,1405,1177,1176,38,8038,383,371,20,52
human,353153,Trypanosoma cruzi,Kinetoplastida,intracellular,19699,2569,2134,2132,143,19242,3292,1283,142,509
human,72359,Trachipleistophora hominis,Microsporidia,intracellular,19699,1276,1059,1059,0,3212,235,133,0,0
human,993615,Vittaforma corneae,Microsporidia,intracellular,19699,865,751,751,8,2236,106,35,3,8
human,53326,Ancylostoma ceylanicum,Nematoda,extracellular,19699,2489,594,593,64,36519,5004,3606,126,334
human,6279,Brugia malayi,Nematoda,extracellular,19699,634,157,157,10,8202,745,682,28,44
human,42155,Brugia timori,Nematoda,extracellular,19699,634,157,157,14,16199,1578,1278,70,89
human,318479,Dracunculus medinensis,Nematoda,extracellular,19699,1772,426,425,40,10868,1323,895,63,178
human,51028,Enterobius vermicularis,Nematoda,extracellular,19699,1772,426,425,42,12840,1714,1114,73,189
human,7209,Loa loa,Nematoda,extracellular,19699,1694,407,406,38,12152,1163,987,49,171
human,51031,Necator americanus,Nematoda,extracellular,19699,2489,594,593,61,19125,2768,2301,135,466
human,6282,Onchocerca volvulus,Nematoda,extracellular,19699,1474,318,317,27,12118,1114,1006,44,126
human,6248,Strongyloides stercoralis,Nematoda,extracellular,19699,2489,594,593,40,12819,2066,1809,46,116
human,6265,Toxocara canis,Nematoda,extracellular,19699,7680,1644,1644,134,18499,2038,1427,107,580
human,36087,Trichuris trichiura,Nematoda,extracellular,19699,1294,320,320,27,9625,835,725,40,75
human,6293,Wuchereria bancrofti,Nematoda,extracellular,19699,634,157,157,11,9343,858,832,43,64
human,79923,Clonorchis sinensis,Trematoda,extracellular,19699,1082,249,249,17,14505,816,606,50,67
human,147828,Opisthorchis felineus,Trematoda,extracellular,19699,1787,469,469,31,11402,886,686,82,142
human,6198,Opisthorchis viverrini,Trematoda,extracellular,19699,1082,249,249,19,16307,896,640,40,59
human,6185,Schistosoma haematobium,Trematoda,extracellular,19699,2999,774,773,42,11119,541,489,31,123
human,6182,Schistosoma japonicum,Trematoda,extracellular,19699,2983,770,769,51,10042,611,463,39,159
human,6183,Schistosoma mansoni,Trematoda,extracellular,19699,3007,783,782,36,14110,826,696,76,439
human,6210,Echinococcus granulosus,Cestoda,extracellular,19699,2334,540,540,30,11279,466,335,16,69
human,6211,Echinococcus multilocularis,Cestoda,extracellular,19699,2334,540,540,33,10469,450,340,19,61
human,6216,Hymenolepis diminuta,Cestoda,extracellular,19699,1294,320,320,19,11264,545,349,17,45
human,60517,Taenia asiatica,Cestoda,extracellular,19699,1294,320,320,25,10327,440,353,16,46
human,185431,Trypanosoma brucei,Kinetoplastida,extracellular,19699,7168,1480,1479,27,8561,662,334,14,34
human,5759,Entamoeba histolytica,Other protozoa,extracellular,19699,7567,1666,1666,79,7959,899,393,43,334
human,184922,Giardia lamblia,Other protozoa,extracellular,19699,1294,320,320,9,7154,746,283,34,67
human,5722,Trichomonas vaginalis,Other protozoa,extracellular,19699,1417,349,349,15,50190,4443,1088,112,216
rat,441375,Cryptosporidium muris,Apicomplexa,intracellular,22237,4456,3453,3447,125,3930,303,126,15,155
rat,5660,Leishmania braziliensis,Kinetoplastida,intracellular,22237,0,0,0,0,8084,366,341,0,0
rat,6313,Angiostrongylus cantonensis,Nematoda,extracellular,22237,9408,2091,2089,158,14486,1547,1286,99,554
rat,334426,Angiostrongylus costaricensis,Nematoda,extracellular,22237,4456,808,807,55,13350,1392,1173,83,208
rat,27835,Nippostrongylus brasiliensis,Nematoda,extracellular,22237,8287,1617,1615,165,22636,3269,2453,191,901
rat,6216,Hymenolepis diminuta,Cestoda,extracellular,22237,4456,808,807,33,11264,545,349,21,74
mouse,441375,Cryptosporidium muris,Apicomplexa,intracellular,21840,3016,2276,2269,63,3930,303,126,21,90
mouse,5660,Leishmania braziliensis,Kinetoplastida,intracellular,21840,5414,4316,4310,166,8084,366,341,37,352
mouse,6313,Angiostrongylus cantonensis,Nematoda,extracellular,21840,3930,1088,1088,96,14486,1547,1286,81,334
mouse,334426,Angiostrongylus costaricensis,Nematoda,extracellular,21840,3990,934,934,55,13350,1392,1173,83,244
mouse,27835,Nippostrongylus brasiliensis,Nematoda,extracellular,21840,5144,1384,1383,116,22636,3269,2453,160,722
mouse,6216,Hymenolepis diminuta,Cestoda,extracellular,21840,2837,729,729,34,11264,545,349,24,62
pig,6337,Trichinella pseudospiralis,Nematoda,intracellular,21278,6835,5509,5507,390,10629,921,792,63,742
pig,6334,Trichinella spiralis,Nematoda,intracellular,21278,6835,5509,5507,361,14258,1048,874,62,742
